producer, processor prod, processor model, cores, core base speed (GHz), ram type, ram cap (GB), ssd (GB), hdd (GB), gpu prod, gpu size (MB), screen type, screen size (inch), weight (kg), os, price(USD)
hp,intel, i5, 4, 1.6,ddr4, 64,0,512,intel, 1700,led ips, 14.0,1.45,windows home 10.00,2158.5
hp,intel, i5, 4, 1.6,ddr4, 64,0,512,intel, 1700,led ips, 14.0,1.41,windows pro 10.00,2049.0
hp,intel, i5, 4, 1.6,ddr4, 16,0,256,intel, 1700,led ips, 14.0,1.41,windows pro 10.00,1411.0
hp,amd, ryzen 3, 4, 2.5,ddr4, 16,0,1024,amd, 2048,led ips, 14.0,1.47,windows pro 10.00,1487.5
hp,amd, ryzen 3, 4, 2.5,ddr4, 16,0,1024,amd, 2048,led ips, 14.0,1.47,windows home 10.00,1427.0
hp,intel, i5, 4, 1.6,ddr4, 32,0,256,intel, 1700,led ips, 13.3,1.32,windows pro 10.00,1943.0
hp,amd, ryzen 5, 6, 2.1,ddr4, 8,0,256,amd, 2048,led ips, 13.3,1.36,windows home 10.00,1180.5
hp,amd, ryzen 5, 6, 2.1,ddr4, 32,0,256,amd, 2048,led ips, 13.3,1.36,no os  0.00,1352.5
hp,intel, i5, 4, 1.6,ddr4, 16,0,1024,intel, 1700,led ips, 14.0,1.32,windows home 10.00,2137.0
hp,intel, i5, 4, 1.6,ddr4, 64,0,512,intel, 1700,led ips, 13.3,1.35,windows home 10.00,2205.0
hp,intel, i5, 4, 1.6,ddr4, 32,0,128,intel, 1700,led ips, 13.3,1.35,windows home 10.00,1654.5
hp,intel, i5, 4, 2.4,ddr4, 16,0,256,intel, 8192,led ips, 13.3,1.31,windows pro 10.00,820.0
hp,intel, i7, 4, 1.8,ddr4, 16,0,1024,intel, 1700,led ips, 15.6,2.05,windows home 10.00,1046.0
hp,intel, i3, 2, 1.2,ddr4, 8,0,512,intel, 8192,led tn, 14.0,1.47,windows pro 10.00,618.0
hp,amd, ryzen 7, 4, 2.3,ddr4, 8,0,256,amd, 2048,led ips, 13.3,1.44,windows pro 10.00,1326.0
hp,intel, i5, 4, 1.6,ddr4, 8,0,512,intel, 1700,led tn, 14.0,1.6,windows pro 10.00,979.5
hp,intel, i7, 6, 2.6,ddr4, 16,0,1024,nvidia, 4096,led ips, 15.6,2.17,windows pro 10.00,1688.5
hp,intel, i3, 2, 3.0,ddr4, 16,0,1024,intel, 8192,led tn, 14.0,1.61,windows pro 10.00,776.5
hp,intel, i3, 2, 3.0,ddr4, 16,0,256,intel, 8192,led tn, 14.0,1.61,windows pro 10.00,686.5
hp,intel, i7, 6, 2.6,ddr4, 12,1000,256,nvidia, 6144,led ips, 15.6,2.39,windows pro 10.00,1240.0
hp,intel, i7, 8, 2.3,ddr4, 32,0,1024,nvidia, 8192,led ips, 17.3,2.14,windows pro 10.00,2049.0
hp,intel, i7, 8, 2.3,ddr4, 64,0,4096,nvidia, 8192,led ips, 17.3,2.14,windows pro 10.00,2749.0
hp,intel, i7, 6, 2.6,ddr4, 8,0,1024,nvidia, 4096,led ips, 15.6,1.92,windows pro 10.00,1460.5
hp,intel, i7, 6, 2.6,ddr4, 8,0,512,nvidia, 4096,led ips, 15.6,1.92,windows pro 10.00,1390.5
hp,intel, i5, 4, 1.6,ddr4, 16,0,1024,intel, 1700,led ips, 15.6,1.76,windows pro 10.00,1728.0
hp,intel, i5, 4, 1.6,ddr4, 32,0,512,intel, 1700,led ips, 15.6,1.76,windows pro 10.00,1752.5
hp,intel, i5, 4, 2.4,ddr4, 32,1000,512,nvidia, 4096,led ips, 15.6,2.25,windows home 10.00,1059.5
hp,intel, i5, 4, 2.5,ddr4, 64,0,2048,intel, 1700,led ips, 15.6,1.92,windows pro 10.00,2761.5
hp,intel, i5, 4, 2.5,ddr4, 32,0,512,intel, 1700,led ips, 15.6,1.92,windows pro 10.00,1728.0
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,512,intel, 8192,led ips, 14.0,1.44,windows pro 10.00,1565.5
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,1024,intel, 8192,led ips, 14.0,1.44,windows pro 10.00,1645.0
lenovo,amd, ryzen 5, 6, 2.1,ddr4, 16,0,1024,amd, 2048,led ips, 14.0,1.35,windows home 10.00,2472.5
lenovo,intel, i3, 2, 1.2,ddr4, 8,2000,512,intel, 8192,led tn, 15.6,1.85,windows home 10.00,762.5
lenovo,intel, i5, 4, 1.8,ddr4, 16,0,512,intel, 8192,led ips, 13.0,1.03,windows pro 10.00,2015.0
lenovo,intel, i5, 4, 1.8,ddr4, 16,0,1024,intel, 8192,led ips, 13.0,1.03,windows pro 10.00,2197.5
lenovo,intel, i7, 4, 1.8,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.34,windows pro 10.00,1150.5
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,1024,intel, 1700,led ips, 13.3,1.43,windows pro 10.00,1958.5
lenovo,intel, i7, 4, 1.8,ddr4, 24,0,1024,intel, 1700,led ips, 15.6,1.8,windows pro 10.00,1200.0
lenovo,intel, i7, 4, 1.3,ddr4, 16,0,512,intel, 8192,led ips, 14.0,1.25,windows pro 10.00,1847.0
lenovo,intel, i3, 2, 1.2,ddr4, 8,0,256,intel, 8192,led ips, 14.0,1.5,windows home 10.00,599.5
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.25,windows home 10.00,2219.0
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,128,intel, 1700,led ips, 13.3,1.25,windows home 10.00,1768.5
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,512,intel, 8192,led ips, 15.6,1.7,windows pro 10.00,957.5
lenovo,amd, ryzen 7, 8, 2.0,ddr4, 16,0,512,amd, 2048,led ips, 15.6,1.7,windows pro 10.00,1269.5
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,512,intel, 8192,led ips, 14.0,1.44,windows pro 10.00,1565.5
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,1024,intel, 8192,led ips, 14.0,1.44,windows pro 10.00,1645.0
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,1024,intel, 8192,led ips, 14.0,1.4,windows pro 10.00,1150.5
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,256,intel, 8192,led ips, 14.0,1.4,windows pro 10.00,1015.0
lenovo,amd, ryzen 7, 8, 1.7,ddr4, 24,0,512,amd, 2048,led ips, 14.0,1.47,windows home 10.00,2284.5
lenovo,amd, ryzen 7, 8, 1.7,ddr4, 40,0,1024,amd, 2048,led ips, 14.0,1.47,windows home 10.00,2819.0
lenovo,intel, i5, 4, 1.6,ddr4, 12,0,512,intel, 1700,led ips, 14.0,1.32,windows pro 10.00,1200.0
lenovo,intel, i5, 4, 1.6,ddr4, 8,0,1024,intel, 1700,led ips, 14.0,1.61,linux ubuntu 0.00,2384.5
lenovo,intel, i5, 4, 1.6,ddr4, 48,0,256,intel, 1700,led ips, 14.0,1.61,windows home 10.00,2681.5
lenovo,intel, i5, 4, 1.6,ddr3, 16,0,512,intel, 1700,led ips, 14.0,1.09,windows home 10.00,2636.0
lenovo,intel, i7, 4, 1.8,ddr4, 24,0,1024,intel, 1700,led ips, 15.6,1.8,windows pro 10.00,1200.0
lenovo,intel, i5, 4, 1.8,ddr4, 16,0,512,intel, 8192,led ips, 13.0,1.03,windows pro 10.00,2015.0
lenovo,intel, i5, 4, 1.8,ddr4, 16,0,1024,intel, 8192,led ips, 13.0,1.03,windows pro 10.00,2197.5
lenovo,amd, ryzen 5, 6, 2.1,ddr4, 16,0,1024,amd, 2048,led ips, 14.0,1.35,windows home 10.00,2472.5
lenovo,intel, i7, 4, 1.8,ddr4, 32,0,2048,nvidia, 2048,led ips, 14.0,1.47,windows home 10.00,3315.0
lenovo,intel, i7, 4, 1.8,ddr4, 24,0,1024,nvidia, 2048,led ips, 14.0,1.47,windows home 10.00,2865.5
lenovo,intel, i7, 4, 1.8,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.34,windows pro 10.00,899.5
lenovo,intel, i5, 4, 1.0,ddr4, 20,0,2048,intel, 8192,led tn, 17.3,2.2,windows home 10.00,969.5
lenovo,intel, i5, 4, 1.0,ddr4, 16,0,1024,intel, 8192,led tn, 17.3,2.2,windows home 10.00,838.0
lenovo,amd, ryzen 7, 8, 2.0,ddr4, 16,0,512,amd, 2048,led ips, 15.6,1.7,windows pro 10.00,1269.5
lenovo,intel, i7, 6, 2.6,ddr4, 16,1000,0,nvidia, 6144,led ips, 15.6,2.2,windows home 10.00,1105.0
lenovo,amd, ryzen 5, 6, 2.3,ddr4, 16,0,2048,amd, 2048,led ips, 15.6,1.7,windows home 10.00,2372.5
lenovo,amd, ryzen 5, 6, 2.3,ddr4, 24,0,1536,amd, 2048,led ips, 15.6,1.7,windows home 10.00,2196.5
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,128,intel, 1700,led ips, 13.3,1.29,windows home 10.00,1771.5
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.29,windows home 10.00,2222.0
lenovo,intel, i7, 4, 3.0,ddr4, 16,0,2048,intel, 8192,led ips, 14.0,1.44,windows home 10.00,2199.5
lenovo,intel, i7, 4, 1.3,ddr4, 16,0,512,intel, 8192,led ips, 14.0,1.25,windows pro 10.00,1847.0
lenovo,intel, i5, 4, 1.0,ddr4, 8,0,256,intel, 8192,led tn, 14.0,1.6,windows home 10.00,569.5
lenovo,intel, i7, 4, 1.8,ddr4, 12,0,512,nvidia, 2048,led ips, 15.6,2.0,windows pro 10.00,999.5
lenovo,intel, i7, 4, 1.8,ddr4, 16,0,1024,nvidia, 2048,led ips, 15.6,1.75,windows pro 10.00,1389.5
lenovo,intel, i7, 4, 1.8,ddr4, 40,0,2048,nvidia, 2048,led ips, 15.6,1.75,windows pro 10.00,2100.0
lenovo,intel, i7, 6, 2.6,ddr4, 8,0,1280,nvidia, 4096,led ips, 15.6,1.8,windows home 10.00,3639.0
lenovo,intel, i7, 6, 2.6,ddr4, 32,0,2304,nvidia, 4096,led ips, 15.6,1.8,windows home 10.00,4459.5
lenovo,amd, ryzen 3, 4, 2.7,ddr4, 8,0,256,amd, 2048,led ips, 14.0,1.5,windows home 10.00,549.0
lenovo,intel, i7, 6, 2.6,ddr4, 16,0,1024,nvidia, 4096,led ips, 15.6,2.0,windows home 10.00,1800.0
lenovo,amd, ryzen 5, 4, 2.1,ddr4, 16,0,256,amd, 2048,led ips, 14.0,1.27,windows pro 10.00,1037.0
lenovo,intel, i7, 4, 1.8,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.34,windows pro 10.00,1150.5
lenovo,intel, i7, 4, 2.8,ddr4, 32,0,1024,nvidia, 2048,led ips, 17.3,3.4,windows pro 10.00,2399.5
lenovo,intel, i7, 4, 1.9,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.28,windows pro 10.00,935.0
lenovo,amd, ryzen 5, 6, 2.1,ddr4, 32,0,512,amd, 2048,led ips, 14.0,1.55,windows home 10.00,2292.5
lenovo,intel, i5, 5, 1.4,ddr4, 8,0,1024,intel, 8192,oled, 13.3,1.0,windows pro 10.00,3099.5
lenovo,intel, i5, 5, 1.4,ddr4, 8,0,512,intel, 8192,oled, 13.3,1.0,windows pro 10.00,2899.5
lenovo,intel, i5, 4, 1.6,ddr4, 40,0,2048,nvidia, 2048,led ips, 15.6,1.75,windows home 10.00,3375.5
lenovo,intel, i3, 2, 1.2,ddr4, 12,2000,1024,intel, 8192,led tn, 15.6,1.85,windows home 10.00,956.5
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,1024,intel, 1700,led ips, 13.3,1.38,windows home 10.00,2001.0
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,512,intel, 1700,led ips, 13.3,1.25,windows home 10.00,2219.0
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,1024,intel, 1700,led ips, 13.3,1.25,windows home 10.00,2487.5
lenovo,intel, i3, 2, 1.2,ddr4, 4,500,0,intel, 8192,led tn, 15.6,1.85,windows pro 10.00,515.0
lenovo,intel, i5, 4, 2.5,ddr4, 32,0,2048,intel, 1700,led ips, 15.6,2.07,windows home 10.00,3132.0
lenovo,intel, i5, 4, 2.5,ddr4, 64,0,512,intel, 1700,led ips, 15.6,2.07,windows home 10.00,2924.0
lenovo,intel, i3, 2, 1.2,ddr4, 8,0,256,intel, 8192,led ips, 14.0,1.6,windows pro 10.00,538.0
lenovo,intel, i5, 4, 1.6,ddr4, 16,0,128,intel, 1700,led ips, 14.0,1.49,windows home 10.00,2088.5
lenovo,intel, i7, 6, 2.7,ddr4, 128,0,256,nvidia, 8192,led ips, 15.6,2.74,windows home 10.00,5859.5
lenovo,intel, i7, 6, 2.7,ddr4, 32,0,256,nvidia, 8192,led ips, 15.6,2.74,windows home 10.00,4084.5
lenovo,intel, i5, 4, 2.5,ddr4, 32,0,3072,nvidia, 4096,led ips, 15.6,2.07,windows home 10.00,4194.5
lenovo,intel, i5, 4, 2.5,ddr4, 8,0,3072,nvidia, 4096,led ips, 15.6,2.07,windows home 10.00,3729.0
lenovo,intel, i5, 4, 1.6,ddr3, 16,0,512,intel, 1700,led ips, 14.0,1.36,windows pro 10.00,1050.5
lenovo,intel, i7, 6, 2.6,ddr4, 8,500,128,nvidia, 6144,led ips, 15.6,2.35,windows pro 10.00,1205.0
lenovo,intel, i5, 4, 1.6,ddr3, 16,0,1024,intel, 1700,led ips, 14.0,1.36,linux ubuntu 0.00,2995.5
lenovo,intel, i5, 4, 1.6,ddr4, 8,0,256,intel, 1700,led ips, 15.6,1.89,windows home 10.00,1981.5
lenovo,intel, i5, 4, 1.6,ddr4, 40,0,128,intel, 1700,led ips, 15.6,1.89,linux ubuntu 0.00,2306.0
lenovo,intel, i5, 4, 1.6,ddr4, 8,0,256,intel, 1700,led ips, 13.3,1.4,windows home 10.00,740.0
lenovo,intel, i3, 2, 2.1,ddr4, 8,500,512,intel, 1700,led ips, 14.0,1.77,windows home 10.00,1517.0
lenovo,intel, i5, 4, 2.4,ddr4, 16,0,512,intel, 8192,led ips, 14.0,1.5,windows pro 10.00,951.5
lenovo,amd, ryzen 5, 6, 3.0,ddr4, 16,1000,1024,nvidia, 6144,led ips, 17.3,2.98,windows pro 10.00,1460.5
lenovo,amd, ryzen 5, 6, 3.0,ddr4, 16,1000,512,nvidia, 6144,led ips, 17.3,2.98,windows pro 10.00,1385.5
lg,intel, i5, 4, 1.6,ddr4, 24,0,2048,intel, 1700,led ips, 14.0,0.99,windows home 10.00,1293.5
lg,intel, i7, 4, 1.3,ddr4, 32,0,2048,intel, 8192,led ips, 17.0,1.35,windows home 10.00,1899.5
lg,intel, i7, 4, 1.8,ddr4, 16,0,1024,intel, 1700,led ips, 14.0,1.15,windows home 10.00,1329.0
dell,intel, i7, 6, 2.6,ddr4, 16,0,512,nvidia, 3072,led ips, 15.6,1.9,windows pro 10.00,1897.5
dell,intel, i5, 4, 2.6,ddr4, 32,0,2560,intel, 1700,led ips, 15.6,2.49,windows pro 10.00,3710.0
dell,intel, i5, 4, 2.6,ddr4, 16,0,1536,intel, 1700,led ips, 15.6,2.49,windows home 10.00,2586.5
dell,intel, i3, 2, 2.7,ddr4, 16,0,512,intel, 1700,led ips, 14.0,4.15,windows pro 10.00,2084.5
dell,intel, i3, 2, 2.7,ddr4, 16,0,1024,intel, 1700,led ips, 14.0,4.15,windows pro 10.00,2659.5
dell,intel, i5, 4, 1.6,ddr4, 16,0,256,intel, 1700,led ips, 15.6,1.82,windows pro 10.00,1691.5
dell,intel, i5, 4, 1.6,ddr4, 32,2000,2048,intel, 1700,led ips, 15.6,2.03,windows home 10.00,1369.5
dell,intel, i7, 4, 1.9,ddr4, 32,0,512,intel, 1700,led ips, 13.3,1.25,windows pro 10.00,1449.0
dell,intel, i7, 6, 2.3,ddr4, 16,0,1024,nvidia, 4096,led ips, 15.6,1.8,windows home 10.00,1996.5
dell,intel, i7, 6, 2.3,ddr4, 32,0,512,nvidia, 4096,led ips, 15.6,1.8,windows pro 10.00,2012.0
dell,intel, i5, 4, 2.6,ddr4, 64,0,1024,intel, 1700,led ips, 15.6,1.84,windows pro 10.00,2931.0
dell,intel, i5, 4, 2.6,ddr4, 16,0,3072,intel, 1700,led ips, 15.6,1.84,windows home 10.00,3561.5
dell,intel, i5, 4, 2.6,ddr4, 128,0,3072,intel, 1700,led ips, 17.3,3.13,windows home 10.00,4930.0
dell,intel, i5, 4, 2.6,ddr4, 16,0,3072,intel, 1700,led ips, 17.3,3.13,windows home 10.00,3275.5
dell,intel, i5, 4, 1.6,ddr4, 32,1000,0,nvidia, 2048,led tn, 15.6,1.86,windows home 10.00,1578.5
dell,intel, i5, 4, 1.6,ddr4, 32,0,512,nvidia, 2048,led tn, 15.6,1.86,windows pro 10.00,1838.0
dell,intel, i5, 4, 2.4,ddr4, 16,0,2048,intel, 8192,led ips, 13.4,1.27,linux ubuntu 0.00,1699.5
dell,intel, i3, 2, 2.1,ddr4, 8,500,256,intel, 1700,led tn, 14.0,1.65,windows pro 10.00,889.5
dell,intel, i5, 4, 2.5,ddr4, 32,0,512,intel, 1700,led ips, 15.6,2.05,windows pro 10.00,1560.5
dell,intel, i5, 4, 2.5,ddr4, 64,0,2048,intel, 1700,led ips, 15.6,2.05,windows pro 10.00,2310.0
dell,intel, i5, 4, 1.1,ddr4, 32,1000,1024,intel, 8192,led tn, 14.0,1.79,windows home 10.00,1958.5
dell,intel, i5, 4, 1.1,ddr4, 8,1000,512,intel, 8192,led tn, 14.0,1.79,windows home 10.00,859.5
dell,intel, i5, 4, 2.3,ddr4, 16,1000,512,nvidia, 4096,led ips, 15.6,2.85,windows home 10.00,994.5
dell,intel, i3, 2, 2.7,ddr4, 32,0,768,intel, 1700,led ips, 14.0,3.5,windows pro 10.00,4808.0
dell,intel, i3, 2, 2.7,ddr4, 32,0,768,intel, 1700,led ips, 14.0,3.5,windows pro 10.00,4801.0
dell,intel, i5, 4, 2.6,ddr4, 64,0,3072,intel, 1700,led ips, 17.3,2.13,windows home 10.00,4336.0
dell,intel, i5, 4, 2.6,ddr4, 64,0,1536,intel, 1700,led ips, 17.3,2.13,windows pro 10.00,3415.0
dell,intel, i5, 4, 1.6,ddr4, 4,1000,0,intel, 1700,led ips, 14.0,1.48,windows pro 10.00,1155.5
dell,intel, i3, 2, 2.1,ddr4, 16,0,256,intel, 1700,led tn, 14.0,1.52,chrome os  0.00,1222.0
dell,intel, i3, 2, 2.1,ddr4, 8,0,256,intel, 1700,led tn, 14.0,1.52,chrome os  0.00,1010.0
dell,intel, i5, 4, 2.5,ddr4, 16,0,1024,intel, 1700,led ips, 14.0,1.54,windows pro 10.00,1903.0
dell,intel, i3, 2, 2.1,ddr4, 8,0,1024,intel, 1700,led tn, 15.6,1.82,windows pro 10.00,1554.5
dell,intel, i3, 2, 2.1,ddr4, 32,0,1024,intel, 1700,led tn, 15.6,1.82,windows pro 10.00,1870.5
dell,intel, i3, 2, 2.1,ddr4, 8,0,256,intel, 1700,led ips, 13.3,1.42,chrome os  0.00,1162.5
dell,intel, i3, 2, 2.1,ddr4, 8,0,512,intel, 1700,led ips, 13.3,1.42,chrome os  0.00,1282.5
dell,intel, i7, 4, 1.3,ddr4, 16,0,512,intel, 8192,led ips, 15.6,2.0,windows home 10.00,979.5
dell,intel, i7, 4, 1.9,ddr4, 16,0,256,intel, 1700,led ips, 12.3,0.85,windows pro 10.00,1099.5
dell,intel, i7, 4, 1.9,ddr4, 16,0,512,intel, 1700,led ips, 12.3,0.85,windows pro 10.00,1224.0
dell,amd, ryzen 5, 6, 2.3,ddr4, 16,0,1024,amd, 2048,led ips, 14.0,1.54,windows pro 10.00,899.5
dell,intel, i7, 4, 1.8,ddr4, 16,0,256,intel, 1700,led ips, 13.3,1.27,windows home 10.00,2460.5
dell,intel, i5, 4, 2.4,ddr4, 16,1000,1024,nvidia, 6144,led ips, 15.6,2.34,windows home 10.00,1100.0
dell,intel, i5, 4, 2.4,ddr4, 8,1000,128,nvidia, 4096,led ips, 15.6,2.85,windows home 10.00,989.5
dell,intel, i5, 4, 1.6,ddr4, 16,0,512,intel, 1700,led ips, 14.0,1.4,windows pro 10.00,1011.0
dell,intel, i5, 4, 1.6,ddr4, 32,0,512,intel, 1700,led ips, 14.0,1.4,windows pro 10.00,1223.0
dell,intel, i7, 4, 1.8,ddr4, 32,0,1024,intel, 1700,led ips, 15.6,2.19,windows home 10.00,1139.0
dell,intel, i7, 4, 1.3,ddr4, 16,0,512,intel, 8192,led ips, 13.4,1.32,windows pro 10.00,1950.5
dell,intel, i3, 2, 3.0,ddr4, 16,0,1024,intel, 8192,led ips, 14.0,1.43,windows pro 10.00,799.5
dell,intel, i3, 2, 2.1,ddr4, 32,0,256,intel, 1700,led tn, 13.3,1.42,chrome os  0.00,1594.5
dell,intel, i3, 2, 2.1,ddr4, 16,0,512,intel, 1700,led tn, 13.3,1.42,chrome os  0.00,1520.0
dell,intel, i3, 2, 2.7,ddr4, 32,0,1024,intel, 1700,led ips, 14.0,3.4,windows pro 10.00,2901.0
dell,intel, i3, 2, 2.7,ddr4, 16,0,2048,intel, 1700,led ips, 14.0,3.4,windows pro 10.00,3853.5
dell,intel, i7, 4, 1.8,ddr4, 32,1000,1024,nvidia, 2048,led ips, 15.6,1.66,windows pro 10.00,1599.5
acer,intel, i7, 6, 2.6,ddr4, 32,0,2048,nvidia, 6144,led ips, 15.6,2.5,windows home 10.00,1399.5
acer,intel, i5, 4, 2.5,ddr4, 24,2000,1024,nvidia, 4096,led ips, 15.6,2.3,windows home 10.00,1106.0
acer,intel, i7, 6, 2.6,ddr4, 64,0,1024,nvidia, 6144,led ips, 15.6,2.0,windows pro 10.00,2169.5
acer,intel, i5, 4, 1.0,ddr4, 8,0,256,intel, 8192,led ips, 14.0,1.19,windows home 10.00,679.5
hp,intel, i7, 8, 2.3,ddr4, 64,0,8192,nvidia, 8192,led ips, 17.3,2.14,windows pro 10.00,3349.0
acer,intel, i7, 6, 2.6,ddr4, 16,0,256,nvidia, 6144,led ips, 17.3,2.7,windows home 10.00,1139.0
acer,intel, i7, 6, 2.6,ddr4, 32,0,1024,nvidia, 6144,led ips, 17.3,2.9,windows home 10.00,1500.0
acer,intel, i5, 4, 1.1,ddr4, 8,0,256,intel, 8192,led ips, 13.5,1.2,windows home 10.00,1104.0
acer,intel, i7, 6, 2.6,ddr4, 12,1000,128,nvidia, 6144,led ips, 15.6,2.41,windows home 10.00,1439.0
acer,intel, i7, 6, 2.6,ddr4, 8,0,1024,nvidia, 6144,led ips, 15.6,2.41,windows home 10.00,1609.0
acer,intel, i3, 2, 2.2,ddr4, 8,0,0,intel, 1700,led ips, 15.6,1.95,chrome os  0.00,640.0
acer,intel, i5, 4, 1.0,ddr4, 8,0,256,intel, 8192,led ips, 14.0,1.19,windows home 10.00,679.5
acer,intel, i7, 6, 2.6,ddr4, 32,1000,1024,nvidia, 6144,led ips, 15.6,2.5,windows home 10.00,2109.0
acer,intel, i5, 4, 2.5,ddr4, 8,1000,512,nvidia, 4096,led ips, 15.6,2.3,windows home 10.00,922.0
acer,intel, i5, 4, 2.5,ddr4, 12,1000,1024,nvidia, 4096,led ips, 17.3,2.2,windows home 10.00,1114.0
hp,intel, i7, 8, 2.3,ddr4, 32,0,2048,nvidia, 8192,led ips, 17.3,2.14,windows home 10.00,2099.5
hp,intel, i7, 8, 2.3,ddr4, 64,0,8192,nvidia, 8192,led ips, 17.3,2.14,windows pro 10.00,3349.0
acer,intel, i7, 6, 2.6,ddr4, 16,0,256,nvidia, 6144,led ips, 17.3,2.7,windows home 10.00,1139.0
acer,intel, i7, 6, 2.6,ddr4, 16,0,1024,nvidia, 6144,led ips, 15.6,2.5,windows home 10.00,1189.5
acer,intel, i7, 6, 2.6,ddr4, 32,0,2048,nvidia, 6144,led ips, 15.6,2.5,windows home 10.00,1399.5
acer,intel, i7, 6, 2.6,ddr4, 64,0,1024,nvidia, 6144,led ips, 15.6,2.0,windows pro 10.00,2169.5
acer,intel, i7, 6, 2.6,ddr4, 32,0,1024,nvidia, 6144,led ips, 17.3,2.9,windows home 10.00,1500.0
